INFO:__main__:25-04-05 11:02:52 Import dataset
INFO:__main__:Channles used: ['Fz', 'F3', 'F4', 'F8', 'FCz', 'FC3', 'FC4', 'Cz', 'C3', 'C4', 'CP3', 'CP4', 'Pz', 'P3', 'P4']
INFO:__main__:25-04-05 11:03:44    subject: 1,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:08:50    subject: 33,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:09:00    subject: 34,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:09:09    subject: 35,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:09:19    subject: 36,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:09:28    subject: 37,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:09:38    subject: 38,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:09:48    subject: 39,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:09:58    subject: 40,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:10:07    subject: 41,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:10:17    subject: 42,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:10:26    subject: 43,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:10:36    subject: 44,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:10:46    subject: 45,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:10:56    subject: 46,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:11:06    subject: 47,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:11:15    subject: 48,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:11:25    subject: 49,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:11:34    subject: 50,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:14:32 Import dataset
INFO:__main__:Channles used: ['Fz', 'F3', 'F4', 'F8', 'FCz', 'FC3', 'FC4', 'Cz', 'C3', 'C4', 'CP3', 'CP4', 'Pz', 'P3', 'P4', 'T3', 'T4']
INFO:__main__:25-04-05 11:15:30    subject: 1,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:15:42    subject: 2,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:15:55    subject: 3,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:16:07    subject: 4,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:16:18    subject: 5,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:16:30    subject: 6,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:16:42    subject: 7,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:16:54    subject: 8,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:17:05    subject: 9,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:17:17    subject: 10,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:17:29    subject: 11,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:17:40    subject: 12,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:17:51    subject: 13,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:18:03    subject: 14,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:18:14    subject: 15,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:18:26    subject: 16,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:18:37    subject: 17,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:18:49    subject: 18,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:19:02    subject: 19,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:19:13    subject: 20,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:19:24    subject: 21,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:19:36    subject: 22,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:19:47    subject: 23,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:19:59    subject: 24,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:20:10    subject: 25,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:20:21    subject: 26,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:20:33    subject: 27,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:20:44    subject: 28,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:20:55    subject: 29,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:21:07    subject: 30,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:21:18    subject: 31,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:21:30    subject: 32,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:21:41    subject: 33,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:21:52    subject: 34,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:22:04    subject: 35,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:22:15    subject: 36,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:22:26    subject: 37,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:22:38    subject: 38,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:22:49    subject: 39,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:23:01    subject: 40,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:23:12    subject: 41,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:23:24    subject: 42,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:23:35    subject: 43,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:23:47    subject: 44,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:23:59    subject: 45,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:24:10    subject: 46,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:24:21    subject: 47,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:24:33    subject: 48,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:24:44    subject: 49,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:24:55    subject: 50,  trainingAcc: 1.0,   testingAcc: 0.4888888888888889
INFO:__main__:25-04-05 11:25:21 Import dataset
INFO:__main__:Channles used: ['Fz', 'F3', 'F4', 'F8', 'FCz', 'FC3', 'FC4', 'Cz', 'C3', 'C4', 'CP3', 'CP4', 'Pz', 'P3', 'P4', 'T3', 'T4', 'TP7', 'TP8']
INFO:__main__:25-04-05 11:26:18    subject: 1,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:26:33    subject: 2,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:26:49    subject: 3,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:27:04    subject: 4,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:27:20    subject: 5,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:27:36    subject: 6,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:27:51    subject: 7,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:28:09    subject: 8,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:28:32    subject: 9,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:28:51    subject: 10,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:29:07    subject: 11,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:29:22    subject: 12,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:29:37    subject: 13,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:29:52    subject: 14,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:30:09    subject: 15,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:30:25    subject: 16,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:30:41    subject: 17,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:30:56    subject: 18,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:31:12    subject: 19,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:31:27    subject: 20,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:31:42    subject: 21,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:31:58    subject: 22,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:32:13    subject: 23,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:32:29    subject: 24,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:32:46    subject: 25,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:33:02    subject: 26,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:33:18    subject: 27,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:33:33    subject: 28,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:33:48    subject: 29,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:34:04    subject: 30,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:34:20    subject: 31,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:34:36    subject: 32,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:34:52    subject: 33,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:35:08    subject: 34,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:35:23    subject: 35,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:35:39    subject: 36,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:35:54    subject: 37,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:36:10    subject: 38,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:36:25    subject: 39,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:36:40    subject: 40,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:36:55    subject: 41,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:37:10    subject: 42,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:37:25    subject: 43,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:37:40    subject: 44,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:37:55    subject: 45,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:38:11    subject: 46,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:38:26    subject: 47,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:38:41    subject: 48,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:38:56    subject: 49,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
INFO:__main__:25-04-05 11:39:11    subject: 50,  trainingAcc: 1.0,   testingAcc: 0.48787878787878786
